Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior;
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;09/2021;2.910.400;831.639;188.119;0;0;0;22.370;1.833.459;34.803;0;0;0;0;0;0;0;0;0;0;10;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;09/2021;2.883.999;2.471.025;0;16.631;0;0;0;94.841;288.012;0;0;0;0;0;13.490;0;0;0;0;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;09/2021;2.845.076;172.451;0;0;0;0;0;0;0;0;0;0;0;0;2.672.625;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;09/2021;2.843.184;1.211.023;303.754;0;418;0;109;1.270.227;57.644;0;0;0;0;0;0;0;0;0;0;8;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;09/2021;2.817.492;271.591;1.373.929;0;0;0;0;0;0;0;0;1.171.971;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24.795.049;b3S;I;2;S5;9;RIO VERDE;GO;09/2021;2.723.435;1.645.020;762;3.095;0;0;0;1.074.556;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;09/2021;2.637.119;1.237.600;0;297;13.476;0;0;512.580;0;0;0;0;0;0;873.166;0;0;0;0;0;0
COOPERATIVA DE CRéDITO, POUPANçA E INVESTIMENTO UNIãO - SICREDI UNIAO RS/ES;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;09/2021;2.628.179;1.603.533;163.183;3.794;0;0;0;789.371;68.287;0;0;0;0;0;0;0;0;0;0;11;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;09/2021;2.606.212;2.129.422;0;3.649;7.080;0;0;464.360;0;0;0;0;0;0;0;0;0;0;0;1.702;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;09/2021;2.595.667;1.211.677;6;0;0;0;0;1.295.507;88.470;0;0;0;0;0;0;0;0;0;0;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;09/2021;2.583.727;569.606;113.300;0;0;0;353;1.868.253;32.203;0;0;0;0;0;0;0;0;0;0;11;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32.983.165;b3S;I;2;S4;9;CAMPO VERDE;MT;09/2021;2.537.181;1.655.797;173.821;0;286;0;152.293;499.405;55.569;0;0;0;0;0;0;0;0;0;0;9;0
